nom_site,adresse,cp,idpw,nombre_de_borne_wifi,etat,latitude,longitude
BIBLIOTHEQUE PARMENTIER,20 AVENUE PARMENTIER,75011,PW0052,1,Opérationnel,48.86009629404828,2.3790349614981054
SQUARE COLBERT,159 RUE DE CHARONNE,75011,PW0160,1,Opérationnel,48.85559193673261,2.389595542248922
SQUARE JEAN AICARD,5 AVENUE JEAN AICARD,75011,PW0152,1,Opérationnel,48.864908624429034,2.3812723169725416
GYMNASE JAPY,2 RUE JAPY,75011,PW0096,1,Opérationnel,48.855871412200436,2.382453535830384
SQUARE MAURICE GARDETTE,2 RUE DU GENERAL BLAISE RUE LACHARRIERE,75011,PW0205,1,Opérationnel,48.86108519335692,2.3790725170531806
SERVICE TECHNIQUE DES BIBLIOTHEQUES,46B RUE DE SAINT MAUR,75011,PW0998,1,Opérationnel,48.862211238459054,2.3803087695105534
SQUARE DES JARDINIERS,2 PASSAGE DUMAS,75011,PW0203,1,Opérationnel,48.85209002148712,2.3902500868580323
CENTRE SPORTIF GEORGES RIGAL,115 BOULEVARD DE CHARONNE,75011,PW0080,1,Opérationnel,48.85660341812766,2.393868772427969
SQUARE BREGUET SABIN,25 BOULEVARD RICHARD LENOIR,75011,PW0177,2,Opérationnel,48.8570974891207,2.3704796611004237
PROMENADE RICHARD LENOIR,67 BOULEVARD RICHARD LENOIR,75011,PW0206,1,Opérationnel,48.860512794097644,2.3722214168165956
MAISON DE LA VIE ASSOCIATIVE ET CITOYENNE  11,8 RUE DU GENERAL RENAULT,75011,PW0029,2,Opérationnel,48.86126592554234,2.3785024756759645
SQUARE ORILLON JULES VERNES,19B RUE DE L ORILLON,75011,PW0056,1,Opérationnel,48.869892680703174,2.375117284276381
SQUARE LA PETITE ROQUETTE,4 RUE SERVAN - SQUARE DE LA ROQUETTE,75011,PW0068,1,Opérationnel,48.859124367471004,2.3841876330805594
MAIRIE DU 11 EME,2 PLACE LEON BLUM,75011,PW0011,1,Opérationnel,48.85807993154854,2.3810034004762697
CENTRE SPORTIF COUR DES LIONS,9-11 RUE ALPHONSE BAUDIN,75011,PW0076,1,Opérationnel,48.86067412777187,2.370343866923959
ESPACE REUILLY,21 RUE ANTOINE JULIEN HENARD,75012,PW0222,3,Opérationnel,48.84251862032188,2.3896330843907885
